air_force_blue_raf,Air Force Blue (Raf),#5d8aa8,93,138,168
air_force_blue_usaf,Air Force Blue (Usaf),#00308f,0,48,143
air_superiority_blue,Air Superiority Blue,#72a0c1,114,160,193
alabama_crimson,Alabama Crimson,#a32638,163,38,56
alice_blue,Alice Blue,#f0f8ff,240,248,255
alizarin_crimson,Alizarin Crimson,#e32636,227,38,54
alloy_orange,Alloy Orange,#c46210,196,98,16
almond,Almond,#efdecd,239,222,205
amaranth,Amaranth,#e52b50,229,43,80
amber,Amber,#ffbf00,255,191,0
amber_sae_ece,Amber (Sae/Ece),#ff7e00,255,126,0
american_rose,American Rose,#ff033e,255,3,62
amethyst,Amethyst,#96c,153,102,204
android_green,Android Green,#a4c639,164,198,57
anti_flash_white,Anti-Flash White,#f2f3f4,242,243,244
antique_brass,Antique Brass,#cd9575,205,149,117
antique_fuchsia,Antique Fuchsia,#915c83,145,92,131
antique_ruby,Antique Ruby,#841b2d,132,27,45
antique_white,Antique White,#faebd7,250,235,215
ao_english,Ao (English),#008000,0,128,0
apple_green,Apple Green,#8db600,141,182,0
apricot,Apricot,#fbceb1,251,206,177
aqua,Aqua,#0ff,0,255,255
aquamarine,Aquamarine,#7fffd4,127,255,212
